word,phonetics,origin,definition,partOfSpeech
supernaturalisms,ˌsü-pər-ˈna-chə-rə-ˌli-zəm,,the quality or state of being supernatural; belief in a supernatural power and order of existence,noun
supercorporation,ˌsü-pər-ˌkȯr-pə-ˈrā-shən,,an extremely large corporation,noun
unpretentiousnesses,ˌən-pri-ˈten(t)-shəs,,"free from ostentation, elegance, or affectation : modest",adjective
dishonorablenesses,(ˌ)dis-ˈä-nə-rə-bəl,,lacking honor : shameful; not honored,adjective
individualistically,ˌin-də-ˈvi-jə-wə-list,,one that pursues a markedly independent course in thought or action; one that advocates or practices individualism,noun
territorializing,ˌter-ə-ˈtȯr-ē-ə-ˌlīz,,to organize on a territorial basis,verb
overspecialization,ˌō-vər-ˈspe-shə-ˌlīz,,to specialize to an excessive degree: such as; to restrict oneself to an extremely narrow field or occupation; to restrict (something) to an excessively narrow focus or scope,verb
conscientiousnesses,ˌkän(t)-shē-ˈen(t)-shəs-nəs,,the condition or quality of being conscientious,noun
extralinguistically,ˌek-strə-liŋ-ˈgwi-stik,,lying outside the province of linguistics,adjective
overconcentrated,ˌō-vər-ˌkän(t)-sən-ˈtrā-shən,,"excessive concentration : the state or an instance of having too much of something or too many things or people concentrated in one place', ""the act or an instance of concentrating too much of one's attention, effort, or resources on something or someone""]",noun
counteraccusations,ˌkau̇n-tər-ˌa-kyə-ˈzā-shən,,an accusation made in response to another accusation : a charge of wrongdoing or fault made toward a person or group who originally made such a charge,noun
denominationalism,di-ˌnä-mə-ˈnā-shə-nə-ˌli-zəm,,devotion to denominational principles or interests; the emphasizing of denominational differences to the point of being narrowly exclusive : sectarianism,noun
creditworthiness,ˈkre-dit-ˌwər-t͟hē,,financially sound enough to justify the extension of credit,adjective
impracticalities,(ˌ)im-ˈprak-ti-kəl,,not practical: such as; not wise to put into or keep in practice or effect; incapable of dealing sensibly or prudently with practical matters,adjective
rationalistically,ˈrash-nə-ˌli-zəm,,reliance on reason as the basis for establishment of religious truth; a theory that reason is in itself a source of knowledge superior to and independent of sense perceptions; a view that reason and experience rather than the nonrational are the fundamental criteria in the solution of problems,noun
consubstantiations,ˌkän(t)-səb-ˌstan(t)-shē-ˈā-shən,,the actual substantial presence and combination of the body and blood of Christ with the eucharistic bread and wine according to a teaching associated with Martin Luther,noun
supernaturalistic,ˌsü-pər-ˈna-chə-rə-ˌli-zəm,,the quality or state of being supernatural; belief in a supernatural power and order of existence,noun
neuroendocrinologists,ˌnu̇r-ō-ˌen-də-kri-ˈnä-lə-jē,,a branch of the life sciences dealing with neurosecretion and the physiological interaction between the central nervous system and the endocrine system,noun
particularization,pər-ˌti-k(yə-)lə-rə-ˈzā-shən,,the act of particularizing : the condition of being particularized,noun
intertranslatable,ˌin-tər-tran(t)s-ˈlā-tə-bəl,,able to be translated to and from one another,adjective
semidomestication,ˌse-mē-də-ˌme-sti-ˈkā-shən,,a captive state of a wild animal in which its living conditions and often its breeding are controlled by humans,noun
declassifications,(ˌ)dē-ˈkla-sə-ˌfī,,to remove or reduce the security classification of,verb
unseasonablenesses,ˌən-ˈsēz-nə-bəl,,occurring at other than the proper time : untimely; not being in season; not normal for the season of the year,adjective
quasicrystalline,ˈkwā-ˌzī-ˌkri-stᵊl,,a body of solid material that resembles a crystal in being composed of repeating structural units but that incorporates two or more unit cells into a quasiperiodic structure,noun
anti-militarists,ˌan-tē-ˈmi-lə-tə-ˌri-zəm,,opposition or hostility to the military or to militarism,noun
representativenesses,ˌre-pri-ˈzen-tə-tiv,,"serving to represent; standing or acting for another especially through delegated authority; of, based on, or constituting a government in which the many are represented by persons chosen from among them usually by election",adjective
nonchronologically,ˌnän-ˌkrä-nə-ˈlä-ji-kəl,,"not of, relating to, or arranged according to the order of time : not chronological",adjective
anti-nationalist,ˌan-tē-ˈnash-nə-list,,opposed to nationalism or to a nationalist movement or government,adjective
anti-revolutionary,ˌan-tē-ˌre-və-ˈlü-shə-ˌner-ē,,opposing or hostile to revolution,adjective
internationalization,ˌin-tər-ˈna-sh(ə-)nə-ˌlīz,,to make international; also : to place under international control,verb
conceptualistically,kən-ˈsep-chə-wə-ˌli-zəm,,a theory in philosophy intermediate between realism and nominalism that universals exist in the mind as concepts of discourse or as predicates which may be properly affirmed of reality; conceptual art,noun
uncompromisingness,ˌən-ˈkäm-prə-ˌmī-ziŋ,,"not making or accepting a compromise : making no concessions : inflexible, unyielding",adjective
constitutionality,ˌkän(t)-stə-ˌtü-shə-ˈna-lə-tē,,the quality or state of being constitutional; especially : accordance with the provisions of a constitution,noun
counter-attacking,ˈkau̇n-tər-ə-ˌtak,,an attack made in response to or in defense against an attack made by another,noun
representationalism,ˌre-pri-ˌzen-ˈtā-shnə-ˌli-zəm,,the doctrine that the immediate object of knowledge is an idea in the mind distinct from the external object which is the occasion of perception; the theory or practice of realistic representation in art,noun
electrocardiographs,i-ˌlek-trō-ˈkär-dē-ə-ˌgraf,,an instrument for recording the changes of electrical potential occurring during the heartbeat used especially in diagnosing abnormalities of heart action,noun
disestablishments,ˌdis-ə-ˈstab-lish,,to deprive of an established status; especially : to deprive of the status and privileges of an established church,verb
psychodynamically,ˌsī-kō-dī-ˈna-miks,,the psychology of mental or emotional forces or processes developing especially in early childhood and their effects on behavior and mental states; explanation or interpretation (as of behavior or mental states) in terms of mental or emotional forces or processes; motivational forces acting especially at the unconscious level,noun
anal-retentiveness,ˈā-nᵊl-ri-ˈten-tiv,,"exhibiting or typifying personality traits (such as frugality and obstinacy) held to be psychological consequences of toilet training —often used in nontechnical contexts to describe someone as extremely or excessively neat, careful, or precise",adjective
good-heartedness,ˈgu̇d-ˈhär-təd,,having a kindly generous disposition,adjective
misdistributions,ˌmis-ˌdi-strə-ˈbyü-shən,,"the act, action, or result of inequitable, inefficient, or unfair distribution",noun
anti-monarchical,ˌan-tē-mə-ˈnär-ki-kəl,,opposed to or hostile toward monarchies or monarchs : anti-monarchist,adjective
parathyroidectomies,ˌper-ə-ˌthī-ˌrȯi-ˈdek-tə-mē,,partial or complete excision of the parathyroid glands,noun
indistinguishabilities,ˌin-di-ˈstiŋ-gwi-shə-bəl,,not distinguishable: such as; lacking identifying or individualizing qualities; not clearly recognizable or understandable,adjective
uncomfortableness,ˌən-ˈkəm(p)(f)-tər-bəl-nəs,,discomfort,noun
misrepresentations,(ˌ)mis-ˌre-pri-ˈzent,,to give a false or misleading representation of usually with an intent to deceive or be unfair; to serve badly or improperly as a representative of,verb
unrepresentativeness,ˌən-ˌre-pri-ˈzen-tə-tiv,,not representative: such as; not typical or characteristic : atypical; not representing an electorate,adjective
biostatisticians,ˌbī-ō-stə-ˈti-stiks,,"statistics applied to the collection, analysis, and interpretation of biological data and especially data relating to human biology, health, and medicine",noun
imperishableness,(ˌ)im-ˈper-i-shə-bəl,,not perishable or subject to decay; enduring or occurring forever,adjective
sensationalistic,sen-ˈsā-shnə-ˌli-zəm,,empiricism that limits experience as a source of knowledge to sensation or sense perceptions; the use or effect of sensational subject matter or treatment,noun
professionalizing,prə-ˈfesh-nə-ˌlīz,,to give a professional character to,verb
praiseworthiness,ˈprāz-ˌwər-t͟hē,,laudable,adjective
naturalistically,ˌna-ch(ə-)rə-ˈli-stik,,"of, characterized by, or according with naturalism",adjective
intercalibrations,ˌin-tər-ˌka-lə-ˈbrā-shən,,calibration between two or more instruments or sets of data,noun
unostentatiousness,ˌən-ˌä-stən-ˈtā-shəs,,not excessively or pretentiously showy or flamboyant : quiet and restrained in taste : not ostentatious,adjective
paraprofessional,ˌper-ə--prə-ˈfesh-nəl,,a trained aide who assists a professional person (such as a teacher or doctor),noun
gastrointestinal,ˌga-strō-in-ˈte-stə-nᵊl,,"of, relating to, affecting, or including both stomach and intestine",adjective
diphenhydramines,ˌdī-ˌfen-ˈhī-drə-ˌmēn,,an antihistamine C17H21NO used especially in the form of its hydrochloride,noun
re-establishments,(ˌ)rē-i-ˈsta-blish,,to establish (something or someone) again,verb
misclassification,ˌmis-ˌkla-sə-fə-ˈkā-shən,,an act or instance of wrongly assigning someone or something to a group or category : incorrect classification,noun
pharmacogenomics,ˌfär-mə-kō-jē-ˈnō-miks,,the science concerned with understanding how genetic differences among individuals cause varied responses to the same drug and with developing drug therapies to compensate for these differences,noun
unconstitutional,ˌən-ˌkän(t)-stə-ˈtü-sh(ə-)nəl,,not according or consistent with the constitution of a body politic (such as a nation),adjective
electrocardiograph,i-ˌlek-trō-ˈkär-dē-ə-ˌgraf,,an instrument for recording the changes of electrical potential occurring during the heartbeat used especially in diagnosing abnormalities of heart action,noun
xenotransplantation,ˌze-nə-ˌtran(t)s-ˌplan-ˈtā-shən,,"transplantation of an organ, tissue, or cells between two different species",noun
nationalistically,ˌna-sh(ə-)nə-ˈli-stik,,"of, favoring, or characterized by nationalism; national",adjective
intraventricular,ˌin-trə-ven-ˈtri-kyə-lər,,"situated within, occurring within, or administered into a ventricle",adjective
dimethyltryptamine,ˌdī-ˌme-thəl-ˈtrip-tə-ˌmēn,,a naturally occurring or easily synthesized hallucinogenic drug C12H16N2 that is chemically similar to but shorter acting than psilocybin —called also DMT,noun
irrepressibility,ˌir-i-ˈpre-sə-bəl,,"impossible to repress, restrain, or control",adjective
electrooculography,i-ˌlek-trō-ˌä-kyə-ˈlä-grə-fē,,the preparation and study of electrooculograms,noun
sedimentologically,ˌse-də-mən-ˈtä-lə-jē,,a branch of science that deals with sedimentary rocks and their inclusions,noun
overconstructions,ˌō-vər-kən-ˈstrəkt,,"to construct (something) more sturdily, elaborately, or extensively than is usual or required",verb
intercrystalline,ˌin-tər-ˈkri-stə-lən,,occurring or existing between the crystals or crystallites that make up a substance,adjective
ultrasophisticated,ˌəl-trə-sə-ˈfi-stə-ˌkā-təd,,extremely or extraordinarily sophisticated,adjective
unassailableness,ˌən-ə-ˈsā-lə-bəl,,"not assailable : not liable to doubt, attack, or question",adjective
overcommunications,ˌō-vər-kə-ˈmyü-nə-ˌkāt,,to communicate excessively; to deliberately communicate more than is normal or generally considered necessary (as to emphasize important information),verb
antifluoridationist,ˌan-tē-ˌflu̇r-ə-ˈdā-sh(ə-)nist,,a person opposed to the fluoridation of public water supplies,noun
unintelligibleness,ˌən-in-ˈte-lə-jə-bəl,,unable to be understood or comprehended : not intelligible,adjective
electrocardiographies,i-ˌlek-trō-ˈkär-dē-ə-ˌgraf,,an instrument for recording the changes of electrical potential occurring during the heartbeat used especially in diagnosing abnormalities of heart action,noun
ultracentrifugally,ˌəl-trə-ˌsen-ˈtri-fyə-gəl,,"of, relating to, or obtained by means of an ultracentrifuge",adjective
nonproductivenesses,ˌnän-prə-ˈdək-tiv,,not productive: such as; failing to produce or yield : unproductive; not directly concerned with production,adjective
misunderstandings,(ˌ)mi-ˌsən-dər-ˈstan-diŋ,,"a failure to understand : misinterpretation; quarrel, disagreement",noun
transcriptionist,tran(t)-ˈskrip-shə-nist,,one that transcribes; especially : a typist who transcribes dictated medical reports,noun
anti-consumerism,ˌan-tē-kən-ˈsü-mə-ˌri-zəm,,opposition or resistance to a culture or way of life emphasizing the purchase and use of consumer goods : opposition to consumerism,noun
transnationalisms,(ˌ)tran(t)s-ˈnash-nəl,,extending or going beyond national boundaries,adjective
counter-movements,ˈkau̇n-tər-ˌmüv-mənt,,a movement in an opposite direction; an organized movement that arises in opposition to something,noun
sesquicentenaries,ˌse-skwi-sen-ˈte-nə-rē,,sesquicentennial,noun
